패턴이름,해당숫자,최소,최대
최근3   상,",4,9,11,16,17,18,20,21,22,26,27,28,32,33,34,39,41,44,45,",1,4
중,",1,4,6,8,9,13,14,16,17,19,25,26,28,33,34,41,42,44,",0,5
하,",1,3,8,9,12,13,16,22,24,28,29,30,31,34,35,37,42,44,45,",0,4
내림 03,",4,6,8,22,28,32,33,34,42,44,",0,3
내림 추가,",1,4,14,26,27,32,41,44,",0,3
내림 추가,",1,13,24,25,27,28,29,42,44,",0,3
01,",1,12,13,17,24,25,33,42,",0,3
3총,",1,3,4,6,8,9,11,12,13,14,16,17,18,19,20,21,22,24,25,26,27,28,29,30,31,32,33,34,35,37,39,41,42,44,45,",3,6
최근5   상,",1,2,3,8,10,14,15,16,20,22,23,24,25,28,29,31,32,34,39,41,42,43,45,",1,5
중,",4,6,8,9,11,13,16,17,18,19,20,21,22,25,26,27,28,30,32,33,34,36,39,41,42,44,45,",1,5
하,",1,3,4,6,8,9,12,13,14,16,17,22,24,26,28,29,30,31,34,35,37,41,42,44,45,",1,6
내림 04,",1,2,3,4,6,8,13,22,28,32,33,34,39,42,44,",0,4
내림 04,",1,2,3,4,11,14,22,26,27,28,32,34,41,44,",0,4
내림 04,",1,2,6,13,18,22,24,25,27,28,29,30,32,42,44,",0,4
내림 추가,",1,2,4,6,11,12,13,17,18,24,25,27,32,33,42,",0,4
01,",8,39,44,",0,1
01,",3,34,44,",0,1
01,",1,30,42,",0,1
01,",2,32,42,",0,1
최근7   상,",1,2,3,5,7,8,9,10,11,13,14,15,17,19,21,23,24,25,26,27,30,31,33,35,36,38,39,40,41,44,45,",3,6
중,",1,2,3,4,6,8,9,10,11,13,15,16,17,18,20,22,25,26,28,29,30,31,32,33,34,36,39,41,42,43,45,",2,5
하,",1,3,4,6,8,9,12,13,14,16,17,18,19,21,22,24,25,26,27,28,29,30,31,33,34,35,37,41,42,44,45,",2,6
내림 추가,",1,2,3,4,6,8,11,13,22,27,28,32,33,39,42,44,",0,4
내림 추가,",1,2,3,4,11,14,15,22,25,27,28,32,34,41,44,",0,4
내림 추가,",1,2,6,13,15,18,22,24,25,27,29,30,32,42,44,",0,4
내림 추가,",1,2,4,6,10,11,12,13,17,18,19,24,25,27,32,42,",0,4
내림 추가,",4,6,8,13,22,28,32,33,34,42,44,",0,3
내림 추가,",1,4,11,14,22,26,27,32,41,44,",0,3
내림 추가,",1,13,18,24,25,27,28,29,32,42,44,",0,3
내림 추가,",1,12,13,17,18,24,25,27,33,42,",0,3
내림 추가,",1,2,3,8,11,27,28,39,",0,3
내림 추가,",1,2,3,15,22,25,28,34,",0,3
내림 추가,",1,2,6,13,15,22,25,30,",0,3
내림 추가,",2,4,6,10,11,19,32,",0,3
10회중 없는 수,",2,5,7,10,15,23,38,40,43,",0,3
10회중 없는 수,",4,6,7,9,12,17,18,37,",0,2
이웃 04,",1,2,3,4,7,8,9,10,21,22,23,27,28,29,41,42,43,44,45,",1,5
이웃 전 ,",11,12,13,14,15,16,17,28,29,30,33,34,35,36,37,38,41,42,43,",1,4
내림,"8,12,",0,1
1구,",1,2,3,4,5,6,7,9,10,11,15,17,19,21,24,27,31,33,35,38,39,43,45,",1,5
1구  2,",2,4,5,6,7,8,9,10,11,12,13,14,18,19,20,24,26,28,30,33,36,40,42,44,",1,4
내림,",1,2,27,39,",0,2
내림,",4,5,8,14,42,44,",0,2
2구,",1,2,3,8,9,10,11,12,13,14,15,16,20,22,24,26,29,32,36,38,40,43,",1,5
구  2,",3,5,6,7,8,9,10,11,12,13,14,19,20,21,25,27,29,31,34,37,41,43,45,",1,5
내림,",8,9,11,43,",0,2
내림,",13,27,29,",0,2
,",8,10,",0,1
3구,",1,2,3,4,8,9,10,11,12,13,14,15,16,17,21,23,25,27,30,33,37,39,41,44,",2,5
구  2,",1,5,8,11,15,16,17,22,23,24,29,30,31,32,33,34,35,36,37,41,43,45,",1,5
내림,",9,23,25,",0,2
내림,",8,16,29,41,",0,2
,",1,3,7,39,43,",0,2
내림 총,",1,9,33,39,",0,2
4구,",1,4,8,9,10,15,16,17,22,23,24,25,26,27,28,29,30,34,36,38,40,43,",1,5
구  2,",2,3,4,5,6,10,13,16,18,20,22,26,27,28,29,30,31,32,33,34,35,40,41,42,",1,5
내림,",17,22,28,43,",0,2
5구,",4,7,10,12,14,16,20,21,22,23,24,25,26,27,28,34,35,36,40,42,44,",1,6
구  2,",2,7,8,9,13,16,19,23,24,25,29,30,31,32,36,37,38,39,40,41,42,43,44,45,",1,4
내림,",23,29,37,",0,2
내림,",4,28,42,",0,2
2전 직관,",16,44,",0,1
6구,",2,4,5,6,7,10,12,14,18,21,24,26,28,30,34,35,36,37,38,39,40,41,42,",1,5
구  2,",2,4,5,6,7,10,12,14,18,21,24,26,28,30,34,35,36,37,38,39,40,41,42,",1,5
2연 내림,",9,16,17,23,",0,2
2전 직관,",10,24,37,45,",0,2
보 15,",1,2,3,4,6,8,10,12,16,17,21,24,27,29,31,32,33,37,38,39,43,44,45,",1,4
구  2,",2,3,4,8,9,10,11,15,16,17,18,19,20,21,22,23,24,28,30,32,34,37,40,44,",1,5
내림,",10,24,29,39,45,",0,2
2연 내림,",9,16,",0,1
2전 직관,",10,37,",0,1
최근7회 6구,",1,4,6,8,9,12,13,14,16,17,18,19,20,21,24,25,26,27,28,29,30,31,32,33,34,35,37,39,41,42,44,45,",2,6
내림 뒤,",6,8,27,45,",0,2
최근5회 7구,",1,3,4,6,8,9,12,13,14,16,17,22,24,26,28,29,30,31,34,35,37,41,42,44,45,",1,6
내림,",6,8,28,44,",0,2
외곽 15,",1,8,15,22,29,36,43,2,3,4,5,6,7,14,21,28,35,42,44,45,38,39,40,",1,5
,",27,30,",0,1
,",30,12,",0,1
내림 03,",2,3,6,8,16,30,37,38,",0,3
,",16,22,27,28,35,",0,3
,",1,2,15,21,35,38,41,",0,3
