번호1,번호2,번호3,번호4,번호5,번호6
1,5,19,27,42,43
1,5,20,34,42,43
1,5,27,34,42,43
1,6,14,18,32,35
1,6,18,19,23,42
1,6,18,23,32,35
1,6,19,23,40,42
1,6,19,23,40,44
1,6,19,28,32,35
1,6,19,35,37,42
1,6,20,29,32,37
1,6,25,29,32,37
1,7,14,18,32,35
1,7,19,32,35,36
1,8,12,17,39,44
1,8,13,20,32,37
1,8,17,35,37,42
1,8,19,23,40,42
1,8,19,35,37,42
1,8,20,35,37,42
1,10,19,27,32,35
1,13,19,35,40,42
1,16,19,23,40,42
1,16,19,35,40,42
1,17,19,23,35,42
1,18,19,23,39,44
2,8,19,26,40,45
2,9,17,30,35,39
3,5,11,28,30,39
3,5,20,28,32,37
3,5,22,27,30,39
3,7,20,21,29,32
3,7,20,30,35,42
3,8,10,19,35,44
3,8,17,30,35,41
3,8,20,30,35,41
3,9,12,21,29,40
3,9,17,20,30,35
3,9,17,21,30,32
3,9,17,30,35,39
3,11,17,26,39,42
3,11,29,32,40,45
3,17,20,28,35,39
3,17,20,30,35,39
3,17,20,30,35,41
3,17,20,35,42,44
3,17,21,29,32,40
3,17,26,27,35,39
3,17,27,35,42,44
4,5,12,30,33,41
4,5,20,28,32,37
4,7,12,30,36,41
4,7,12,30,41,43
4,11,27,32,38,43
4,11,29,32,37,45
4,11,30,32,38,43
4,12,19,30,33,41
4,19,27,30,32,45
4,21,23,31,32,39
5,7,12,28,30,39
5,8,20,36,37,39
5,8,22,31,34,40
5,8,26,30,31,39
5,9,11,17,26,39
5,9,17,28,30,39
5,9,18,20,37,42
5,9,18,26,31,40
5,9,20,26,34,37
5,9,20,28,32,37
5,9,26,34,37,38
5,11,13,26,30,39
5,11,28,30,33,39
5,12,20,28,30,31
5,12,28,30,34,39
5,12,30,33,41,44
5,13,20,28,32,37
5,13,20,31,36,42
5,13,26,27,30,39
5,20,23,31,36,42
5,20,28,30,31,37
5,20,28,30,32,37
5,21,30,32,38,43
5,23,26,30,31,42
5,26,28,30,39,44
5,28,30,33,39,44
6,8,14,29,31,32
6,9,10,19,35,37
6,9,11,29,35,37
6,9,17,20,30,35
6,9,17,20,35,42
6,9,20,22,31,35
6,9,20,28,35,37
6,10,11,29,37,39
6,10,13,21,32,37
6,10,19,22,28,35
6,10,19,27,28,43
6,10,19,32,35,37
6,10,21,29,32,37
6,10,23,32,35,37
6,10,25,32,35,37
6,11,19,22,40,45
6,11,19,28,42,43
6,11,29,35,37,39
6,14,30,31,42,43
6,19,27,32,41,43
6,20,28,31,35,37
6,20,28,32,35,37
6,21,23,32,35,38
6,25,29,32,37,40
7,9,11,22,30,39
7,9,11,26,30,39
7,9,20,36,39,41
7,10,19,32,36,41
7,11,13,30,34,39
7,11,19,28,30,45
7,11,28,30,33,39
7,11,28,30,34,39
7,12,20,28,30,45
7,12,23,25,34,38
7,12,30,33,41,44
7,16,32,38,40,41
7,19,28,32,36,41
7,20,23,31,35,42
7,20,28,30,31,39
7,20,28,30,35,39
7,21,30,32,38,43
7,24,32,35,39,41
7,25,29,32,38,40
8,9,17,30,32,35
8,9,17,30,35,39
8,9,17,32,35,36
8,9,17,35,36,39
8,10,19,24,32,35
8,11,19,37,42,44
8,13,20,34,35,39
8,17,19,24,32,35
8,17,20,23,39,44
8,17,31,34,35,42
8,19,35,37,39,44
8,20,23,30,31,45
8,20,23,31,34,42
8,20,23,32,37,45
9,11,23,30,35,38
9,16,17,30,35,39
9,17,20,22,35,39
9,17,20,23,31,42
9,17,20,23,35,42
9,17,20,30,35,36
9,17,20,30,35,43
9,17,20,31,35,36
9,17,20,35,36,39
9,17,20,35,39,42
9,17,22,30,35,39
9,20,28,32,35,37
9,21,29,31,32,40
10,13,21,27,29,39
10,13,21,32,37,45
10,16,32,37,38,41
10,17,22,27,35,44
10,19,27,29,32,45
10,19,27,32,36,41
10,19,27,32,36,45
10,19,27,32,41,43
10,19,27,38,41,43
11,13,27,32,36,45
11,19,28,32,36,45
11,19,32,36,40,45
12,19,30,33,41,44
13,21,31,36,40,42
14,27,30,31,39,43
