번호1,번호2,번호3,번호4,번호5,번호6
4,5,21,25,30,38
4,5,21,30,32,33
4,5,24,27,33,34
4,5,24,27,34,39
4,5,25,26,30,39
4,5,25,30,38,39
4,6,14,25,39,43
4,6,15,27,31,40
4,7,15,24,39,40
4,7,16,21,33,40
4,7,20,25,30,39
4,7,21,24,33,34
4,7,21,25,30,38
4,7,25,30,33,38
4,8,15,21,32,41
4,8,15,27,31,40
4,8,15,31,33,40
4,8,18,27,31,35
4,8,18,27,35,41
4,8,21,25,30,43
4,8,21,25,31,36
4,8,21,25,36,43
4,8,24,27,35,41
4,8,24,33,35,41
4,8,25,27,36,37
4,9,14,27,31,40
4,9,15,24,32,43
4,9,15,27,32,40
4,9,15,30,31,40
4,9,15,31,36,40
4,9,15,31,38,40
4,9,20,21,24,43
4,9,20,21,31,38
4,9,20,24,31,35
4,9,21,22,24,43
4,9,21,24,28,43
4,9,21,24,34,43
4,9,21,24,35,40
4,9,21,25,30,38
4,9,21,25,30,40
4,9,21,26,30,31
4,9,21,26,31,38
4,9,21,29,30,32
4,9,21,30,31,38
4,9,21,31,36,38
4,9,21,31,36,40
4,9,21,31,38,40
4,9,21,31,38,42
4,9,23,24,35,40
4,9,24,26,35,43
4,9,24,27,32,35
4,9,24,27,35,40
4,9,24,31,35,36
4,9,24,31,35,40
4,9,24,32,35,43
4,9,26,29,39,40
4,9,26,38,39,43
4,9,27,29,32,40
4,9,27,31,36,40
4,9,29,33,38,40
4,9,30,31,35,40
4,10,15,31,33,40
4,10,21,33,36,41
4,10,23,25,33,42
4,11,15,24,27,40
4,11,15,24,34,39
4,11,15,24,39,40
4,11,24,27,35,40
4,12,15,21,26,43
4,12,15,21,31,40
4,12,15,23,39,40
4,12,15,25,26,43
4,12,15,25,27,40
4,12,15,25,31,40
4,12,15,25,33,40
4,12,15,27,29,40
4,12,15,27,31,34
4,12,15,27,31,40
4,12,15,29,33,40
4,12,15,31,33,40
4,12,15,31,39,40
4,12,21,25,31,40
4,12,23,25,39,40
4,12,23,27,39,40
4,12,23,33,39,40
4,12,25,26,39,43
4,12,26,31,35,39
4,12,27,31,35,40
4,13,14,24,27,39
4,13,15,21,30,40
